week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2025-01-06,P001,S001,384,182,122,444,0
2025-01-06,P001,S002,428,240,141,527,0
2025-01-06,P001,S003,455,246,237,464,0
2025-01-06,P001,S004,468,246,213,501,0
2025-01-06,P001,S005,484,228,175,537,0
2025-01-06,P001,S006,237,92,79,250,0
2025-01-06,P001,S007,192,48,94,146,0
2025-01-06,P001,S008,371,198,152,417,0
2025-01-06,P001,S009,159,114,137,136,0
2025-01-06,P001,S010,128,109,120,117,0
2025-01-06,P001,S011,384,256,271,369,0
2025-01-06,P001,S012,189,197,202,184,0
2025-01-06,P001,S013,311,256,193,374,0
2025-01-06,P001,S014,429,295,244,480,0
2025-01-06,P001,S015,180,113,79,214,0
2025-01-06,P001,S016,411,263,237,437,0
2025-01-06,P001,S017,200,148,140,208,0
2025-01-06,P001,S018,184,73,45,212,0
2025-01-06,P001,S019,230,79,96,213,0
2025-01-06,P001,S020,361,153,99,415,0
2025-01-06,P001,S021,318,165,121,362,0
2025-01-06,P001,S022,215,40,95,160,0
2025-01-06,P001,S023,307,163,108,362,0
2025-01-06,P001,S024,176,94,86,184,0
2025-01-06,P001,S025,337,236,150,423,0
2025-01-06,P001,S026,391,210,185,416,0
2025-01-06,P001,S027,459,323,151,631,0
2025-01-06,P001,S028,155,101,66,190,0
2025-01-06,P001,S029,219,137,96,260,0
2025-01-06,P001,S030,327,242,147,422,0
2025-01-06,P002,S001,216,103,158,161,0
2025-01-06,P002,S002,271,105,97,279,0
2025-01-06,P002,S003,285,131,97,319,0
2025-01-06,P002,S004,281,130,82,329,0
2025-01-06,P002,S005,255,139,73,321,0
2025-01-06,P002,S006,124,53,36,141,0
2025-01-06,P002,S007,91,60,74,77,0
2025-01-06,P002,S008,164,98,68,194,0
2025-01-06,P002,S009,64,62,47,79,0
2025-01-06,P002,S010,72,69,36,105,0
2025-01-06,P002,S011,177,55,157,75,0
2025-01-06,P002,S012,98,70,69,99,0
2025-01-06,P002,S013,206,137,123,220,0
2025-01-06,P002,S014,175,142,109,208,0
2025-01-06,P002,S015,70,60,43,87,0
2025-01-06,P002,S016,187,138,102,223,0
2025-01-06,P002,S017,93,72,60,105,0
2025-01-06,P002,S018,119,23,26,116,0
2025-01-06,P002,S019,91,16,31,76,0
2025-01-06,P002,S020,217,63,57,223,0
2025-01-06,P002,S021,203,71,29,245,0
2025-01-06,P002,S022,95,50,54,91,0
2025-01-06,P002,S023,151,62,44,169,0
2025-01-06,P002,S024,85,17,43,59,0
2025-01-06,P002,S025,198,94,80,212,0
2025-01-06,P002,S026,200,91,77,214,0
2025-01-06,P002,S027,270,137,110,297,0
2025-01-06,P002,S028,65,41,34,72,0
2025-01-06,P002,S029,102,70,56,116,0
2025-01-06,P002,S030,158,97,104,151,0
2025-01-06,P003,S001,209,88,77,220,0
2025-01-06,P003,S002,257,113,68,302,0
2025-01-06,P003,S003,231,134,106,259,0
2025-01-06,P003,S004,207,127,163,171,0
2025-01-06,P003,S005,229,64,108,185,0
2025-01-06,P003,S006,100,54,78,76,0
2025-01-06,P003,S007,116,55,41,130,0
2025-01-06,P003,S008,194,88,115,167,0
2025-01-06,P003,S009,87,55,64,78,0
2025-01-06,P003,S010,76,57,39,94,0
2025-01-06,P003,S011,159,153,89,223,0
2025-01-06,P003,S012,116,28,92,52,0
2025-01-06,P003,S013,202,149,107,244,0
2025-01-06,P003,S014,188,64,95,157,0
2025-01-06,P003,S015,84,55,40,99,0
2025-01-06,P003,S016,184,154,143,195,0
2025-01-06,P003,S017,108,96,54,150,0
2025-01-06,P003,S018,104,42,31,115,0
2025-01-06,P003,S019,89,48,34,103,0
2025-01-06,P003,S020,158,83,61,180,0
2025-01-06,P003,S021,153,66,59,160,0
2025-01-06,P003,S022,113,36,33,116,0
2025-01-06,P003,S023,172,83,55,200,0
2025-01-06,P003,S024,77,23,37,63,0
2025-01-06,P003,S025,212,45,64,193,0
2025-01-06,P003,S026,167,117,97,187,0
2025-01-06,P003,S027,238,72,110,200,0
2025-01-06,P003,S028,84,51,60,75,0
2025-01-06,P003,S029,97,60,56,101,0
2025-01-06,P003,S030,156,120,69,207,0
2025-01-06,P004,S001,60,35,17,78,0
2025-01-06,P004,S002,77,40,32,85,0
2025-01-06,P004,S003,101,46,23,124,0
2025-01-06,P004,S004,97,20,25,92,0
2025-01-06,P004,S005,92,45,32,105,0
2025-01-06,P004,S006,43,22,9,56,0
2025-01-06,P004,S007,42,17,6,53,0
2025-01-06,P004,S008,58,18,25,51,0
2025-01-06,P004,S009,31,23,11,43,0
2025-01-06,P004,S010,27,19,7,39,0
2025-01-06,P004,S011,73,58,33,98,0
2025-01-06,P004,S012,44,33,23,54,0
2025-01-06,P004,S013,61,49,37,73,0
2025-01-06,P004,S014,56,19,33,42,0
2025-01-06,P004,S015,24,24,5,43,0
2025-01-06,P004,S016,64,53,32,85,0
2025-01-06,P004,S017,42,34,20,56,0
2025-01-06,P004,S018,43,16,10,49,0
2025-01-06,P004,S019,31,17,7,41,0
2025-01-06,P004,S020,66,29,20,75,0
2025-01-06,P004,S021,64,24,36,52,0
2025-01-06,P004,S022,34,13,9,38,0
2025-01-06,P004,S023,56,28,19,65,0
2025-01-06,P004,S024,25,15,10,30,0
2025-01-06,P004,S025,76,43,50,69,0
2025-01-06,P004,S026,61,41,29,73,0
2025-01-06,P004,S027,88,55,37,106,0
2025-01-06,P004,S028,29,19,4,44,0
2025-01-06,P004,S029,36,10,13,33,0
2025-01-06,P004,S030,77,35,26,86,0
2025-01-06,P005,S001,215,88,121,182,0
2025-01-06,P005,S002,224,118,73,269,0
2025-01-06,P005,S003,246,137,70,313,0
2025-01-06,P005,S004,228,108,114,222,0
2025-01-06,P005,S005,227,133,100,260,0
2025-01-06,P005,S006,89,55,58,86,0
2025-01-06,P005,S007,112,48,35,125,0
2025-01-06,P005,S008,184,101,123,162,0
2025-01-06,P005,S009,64,62,41,85,0
2025-01-06,P005,S010,70,68,25,113,0
2025-01-06,P005,S011,212,150,203,159,0
2025-01-06,P005,S012,97,70,50,117,0
2025-01-06,P005,S013,160,50,103,107,0
2025-01-06,P005,S014,184,160,112,232,0
2025-01-06,P005,S015,90,68,103,55,0
2025-01-06,P005,S016,167,136,114,189,0
2025-01-06,P005,S017,114,88,86,116,0
2025-01-06,P005,S018,118,13,40,91,0
2025-01-06,P005,S019,97,45,55,87,0
2025-01-06,P005,S020,200,80,49,231,0
2025-01-06,P005,S021,175,66,55,186,0
2025-01-06,P005,S022,112,43,56,99,0
2025-01-06,P005,S023,193,70,50,213,0
2025-01-06,P005,S024,78,37,42,73,0
2025-01-06,P005,S025,157,106,103,160,0
2025-01-06,P005,S026,207,103,73,237,0
2025-01-06,P005,S027,230,153,133,250,0
2025-01-06,P005,S028,68,51,41,78,0
2025-01-06,P005,S029,89,57,46,100,0
2025-01-06,P005,S030,190,107,96,201,0
2025-01-06,P006,S001,393,295,171,517,0
2025-01-06,P006,S002,406,318,195,529,0
2025-01-06,P006,S003,494,319,394,419,0
2025-01-06,P006,S004,443,309,188,564,0
2025-01-06,P006,S005,518,284,229,573,0
2025-01-06,P006,S006,190,147,100,237,0
2025-01-06,P006,S007,230,133,126,237,0
2025-01-06,P006,S008,354,215,191,378,0
2025-01-06,P006,S009,178,87,76,189,0
2025-01-06,P006,S010,133,63,74,122,0
2025-01-06,P006,S011,348,223,156,415,0
2025-01-06,P006,S012,185,44,112,117,0
2025-01-06,P006,S013,426,129,178,377,0
2025-01-06,P006,S014,420,251,130,541,0
2025-01-06,P006,S015,140,96,66,170,0
2025-01-06,P006,S016,391,186,218,359,0
2025-01-06,P006,S017,240,137,75,302,0
2025-01-06,P006,S018,219,79,74,224,0
2025-01-06,P006,S019,217,100,78,239,0
2025-01-06,P006,S020,334,177,107,404,0
2025-01-06,P006,S021,314,170,134,350,0
2025-01-06,P006,S022,246,101,72,275,0
2025-01-06,P006,S023,423,167,87,503,0
2025-01-06,P006,S024,161,73,41,193,0
2025-01-06,P006,S025,347,205,144,408,0
2025-01-06,P006,S026,349,185,122,412,0
2025-01-06,P006,S027,533,243,171,605,0
2025-01-06,P006,S028,176,83,58,201,0
2025-01-06,P006,S029,245,121,91,275,0
2025-01-06,P006,S030,407,203,174,436,0
2025-01-06,P007,S001,194,109,88,215,0
2025-01-06,P007,S002,209,156,134,231,0
2025-01-06,P007,S003,216,176,80,312,0
2025-01-06,P007,S004,282,164,131,315,0
2025-01-06,P007,S005,255,171,101,325,0
2025-01-06,P007,S006,88,86,69,105,0
2025-01-06,P007,S007,92,77,48,121,0
2025-01-06,P007,S008,195,141,92,244,0
2025-01-06,P007,S009,63,45,36,72,0
2025-01-06,P007,S010,67,44,26,85,0
2025-01-06,P007,S011,188,108,92,204,0
2025-01-06,P007,S012,115,67,63,119,0
2025-01-06,P007,S013,195,46,75,166,0
2025-01-06,P007,S014,166,113,87,192,0
2025-01-06,P007,S015,82,54,33,103,0
2025-01-06,P007,S016,167,107,117,157,0
2025-01-06,P007,S017,100,19,52,67,0
2025-01-06,P007,S018,117,41,42,116,0
2025-01-06,P007,S019,113,24,29,108,0
2025-01-06,P007,S020,208,79,54,233,0
2025-01-06,P007,S021,195,73,36,232,0
2025-01-06,P007,S022,110,48,35,123,0
2025-01-06,P007,S023,157,80,49,188,0
2025-01-06,P007,S024,73,17,57,33,0
2025-01-06,P007,S025,169,107,86,190,0
2025-01-06,P007,S026,167,93,54,206,0
2025-01-06,P007,S027,288,144,94,338,0
2025-01-06,P007,S028,74,34,33,75,0
2025-01-06,P007,S029,123,31,51,103,0
2025-01-06,P007,S030,193,90,59,224,0
2025-01-06,P008,S001,204,145,98,251,0
2025-01-06,P008,S002,246,190,177,259,0
2025-01-06,P008,S003,253,162,124,291,0
2025-01-06,P008,S004,245,187,120,312,0
2025-01-06,P008,S005,219,150,118,251,0
2025-01-06,P008,S006,116,86,46,156,0
2025-01-06,P008,S007,99,77,53,123,0
2025-01-06,P008,S008,152,111,155,108,0
2025-01-06,P008,S009,81,54,58,77,0
2025-01-06,P008,S010,67,46,37,76,0
2025-01-06,P008,S011,214,52,122,144,0
2025-01-06,P008,S012,125,55,57,123,0
2025-01-06,P008,S013,212,96,87,221,0
2025-01-06,P008,S014,176,111,147,140,0
2025-01-06,P008,S015,63,48,24,87,0
2025-01-06,P008,S016,213,97,93,217,0
2025-01-06,P008,S017,104,63,42,125,0
2025-01-06,P008,S018,126,21,26,121,0
2025-01-06,P008,S019,125,46,30,141,0
2025-01-06,P008,S020,208,86,85,209,0
2025-01-06,P008,S021,170,77,57,190,0
2025-01-06,P008,S022,103,43,40,106,0
2025-01-06,P008,S023,208,77,42,243,0
2025-01-06,P008,S024,71,47,21,97,0
2025-01-06,P008,S025,162,88,62,188,0
2025-01-06,P008,S026,188,101,114,175,0
2025-01-06,P008,S027,285,109,115,279,0
2025-01-06,P008,S028,82,13,52,43,0
2025-01-06,P008,S029,110,52,35,127,0
2025-01-06,P008,S030,157,102,86,173,0
2025-01-06,P009,S001,68,22,36,54,0
2025-01-06,P009,S002,103,66,50,119,0
2025-01-06,P009,S003,76,63,41,98,0
2025-01-06,P009,S004,88,36,42,82,0
2025-01-06,P009,S005,100,66,55,111,0
