week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2025-01-06,P001,S001,North,122,5454.62,0,,0.0
2025-01-06,P001,S002,North,141,6304.11,0,,0.0
2025-01-06,P001,S003,North,237,8784.31,1,Price Cut,17.1
2025-01-06,P001,S004,North,213,9523.23,0,,0.0
2025-01-06,P001,S005,North,175,7824.25,0,,0.0
2025-01-06,P001,S006,North,79,3532.09,0,,0.0
2025-01-06,P001,S007,North,94,4202.74,0,,0.0
2025-01-06,P001,S008,North,152,6795.92,0,,0.0
2025-01-06,P001,S009,South,137,5292.23,1,Price Cut,13.6
2025-01-06,P001,S010,South,120,5365.2,0,,0.0
2025-01-06,P001,S011,South,271,10105.09,1,Bundle,16.6
2025-01-06,P001,S012,South,202,4777.62,1,BOGO,47.1
2025-01-06,P001,S013,South,193,8629.03,0,,0.0
2025-01-06,P001,S014,South,244,10909.24,0,,0.0
2025-01-06,P001,S015,South,79,3532.09,0,,0.0
2025-01-06,P001,S016,South,237,10596.27,0,,0.0
2025-01-06,P001,S017,South,140,6259.4,0,,0.0
2025-01-06,P001,S018,East,45,2011.95,0,,0.0
2025-01-06,P001,S019,East,96,3438.02,1,Price Cut,19.9
2025-01-06,P001,S020,East,99,4426.29,0,,0.0
2025-01-06,P001,S021,East,121,5409.91,0,,0.0
2025-01-06,P001,S022,East,95,3211.07,1,Bundle,24.4
2025-01-06,P001,S023,East,108,4828.68,0,,0.0
2025-01-06,P001,S024,West,86,3149.1,1,Price Cut,18.1
2025-01-06,P001,S025,West,150,6706.5,0,,0.0
2025-01-06,P001,S026,West,185,8271.35,0,,0.0
2025-01-06,P001,S027,West,151,6751.21,0,,0.0
2025-01-06,P001,S028,West,66,2950.86,0,,0.0
2025-01-06,P001,S029,West,96,4159.1,1,Display Feature,3.1
2025-01-06,P001,S030,West,147,6572.37,0,,0.0
2025-01-06,P002,S001,North,158,870.44,1,BOGO,46.2
2025-01-06,P002,S002,North,97,993.28,0,,0.0
2025-01-06,P002,S003,North,97,953.55,1,Display Feature,4.0
2025-01-06,P002,S004,North,82,839.68,0,,0.0
2025-01-06,P002,S005,North,73,747.52,0,,0.0
2025-01-06,P002,S006,North,36,368.64,0,,0.0
2025-01-06,P002,S007,North,74,397.82,1,BOGO,47.5
2025-01-06,P002,S008,North,68,696.32,0,,0.0
2025-01-06,P002,S009,South,47,481.28,0,,0.0
2025-01-06,P002,S010,South,36,368.64,0,,0.0
2025-01-06,P002,S011,South,157,1607.68,0,,0.0
2025-01-06,P002,S012,South,69,706.56,0,,0.0
2025-01-06,P002,S013,South,123,1259.52,0,,0.0
2025-01-06,P002,S014,South,109,1116.16,0,,0.0
2025-01-06,P002,S015,South,43,440.32,0,,0.0
2025-01-06,P002,S016,South,102,1044.48,0,,0.0
2025-01-06,P002,S017,South,60,614.4,0,,0.0
2025-01-06,P002,S018,East,26,266.24,0,,0.0
2025-01-06,P002,S019,East,31,317.44,0,,0.0
2025-01-06,P002,S020,East,57,583.68,0,,0.0
2025-01-06,P002,S021,East,29,296.96,0,,0.0
2025-01-06,P002,S022,East,54,422.46,1,Bundle,23.6
2025-01-06,P002,S023,East,44,450.56,0,,0.0
2025-01-06,P002,S024,West,43,440.32,0,,0.0
2025-01-06,P002,S025,West,80,819.2,0,,0.0
2025-01-06,P002,S026,West,77,788.48,0,,0.0
2025-01-06,P002,S027,West,110,1126.4,0,,0.0
2025-01-06,P002,S028,West,34,348.16,0,,0.0
2025-01-06,P002,S029,West,56,309.66,1,BOGO,46.0
2025-01-06,P002,S030,West,104,1064.96,0,,0.0
2025-01-06,P003,S001,North,77,750.75,0,,0.0
2025-01-06,P003,S002,North,68,663.0,0,,0.0
2025-01-06,P003,S003,North,106,1033.5,0,,0.0
2025-01-06,P003,S004,North,163,831.18,1,BOGO,47.7
2025-01-06,P003,S005,North,108,791.86,1,Bundle,24.8
2025-01-06,P003,S006,North,78,407.63,1,BOGO,46.4
2025-01-06,P003,S007,North,41,399.75,0,,0.0
2025-01-06,P003,S008,North,115,962.03,1,Price Cut,14.2
2025-01-06,P003,S009,South,64,484.22,1,Bundle,22.4
2025-01-06,P003,S010,South,39,380.25,0,,0.0
2025-01-06,P003,S011,South,89,867.75,0,,0.0
2025-01-06,P003,S012,South,92,897.0,0,,0.0
2025-01-06,P003,S013,South,107,1043.25,0,,0.0
2025-01-06,P003,S014,South,95,926.25,0,,0.0
2025-01-06,P003,S015,South,40,390.0,0,,0.0
2025-01-06,P003,S016,South,143,1394.25,0,,0.0
2025-01-06,P003,S017,South,54,526.5,0,,0.0
2025-01-06,P003,S018,East,31,302.25,0,,0.0
2025-01-06,P003,S019,East,34,331.5,0,,0.0
2025-01-06,P003,S020,East,61,594.75,0,,0.0
2025-01-06,P003,S021,East,59,575.25,0,,0.0
2025-01-06,P003,S022,East,33,321.75,0,,0.0
2025-01-06,P003,S023,East,55,536.25,0,,0.0
2025-01-06,P003,S024,West,37,360.75,0,,0.0
2025-01-06,P003,S025,West,64,624.0,0,,0.0
2025-01-06,P003,S026,West,97,945.75,0,,0.0
2025-01-06,P003,S027,West,110,1072.5,0,,0.0
2025-01-06,P003,S028,West,60,466.24,1,Bundle,20.3
2025-01-06,P003,S029,West,56,546.0,0,,0.0
2025-01-06,P003,S030,West,69,672.75,0,,0.0
2025-01-06,P004,S001,North,17,802.91,0,,0.0
2025-01-06,P004,S002,North,32,1240.83,1,Bundle,17.9
2025-01-06,P004,S003,North,23,1033.06,1,Display Feature,4.9
2025-01-06,P004,S004,North,25,1180.75,0,,0.0
2025-01-06,P004,S005,North,32,1511.36,0,,0.0
2025-01-06,P004,S006,North,9,425.07,0,,0.0
2025-01-06,P004,S007,North,6,283.38,0,,0.0
2025-01-06,P004,S008,North,25,1180.75,0,,0.0
2025-01-06,P004,S009,South,11,519.53,0,,0.0
2025-01-06,P004,S010,South,7,330.61,0,,0.0
2025-01-06,P004,S011,South,33,1558.59,0,,0.0
2025-01-06,P004,S012,South,23,1034.15,1,Display Feature,4.8
2025-01-06,P004,S013,South,37,1747.51,0,,0.0
2025-01-06,P004,S014,South,33,1558.59,0,,0.0
2025-01-06,P004,S015,South,5,236.15,0,,0.0
2025-01-06,P004,S016,South,32,1511.36,0,,0.0
2025-01-06,P004,S017,South,20,944.6,0,,0.0
2025-01-06,P004,S018,East,10,472.3,0,,0.0
2025-01-06,P004,S019,East,7,330.61,0,,0.0
2025-01-06,P004,S020,East,20,944.6,0,,0.0
2025-01-06,P004,S021,East,36,882.45,1,BOGO,48.1
2025-01-06,P004,S022,East,9,425.07,0,,0.0
2025-01-06,P004,S023,East,19,897.37,0,,0.0
2025-01-06,P004,S024,West,10,368.87,1,Bundle,21.9
2025-01-06,P004,S025,West,50,1258.68,1,BOGO,46.7
2025-01-06,P004,S026,West,29,1369.67,0,,0.0
2025-01-06,P004,S027,West,37,1747.51,0,,0.0
2025-01-06,P004,S028,West,4,188.92,0,,0.0
2025-01-06,P004,S029,West,13,613.99,0,,0.0
2025-01-06,P004,S030,West,26,1227.98,0,,0.0
2025-01-06,P005,S001,North,121,1359.51,1,Price Cut,19.4
2025-01-06,P005,S002,North,73,1017.62,0,,0.0
2025-01-06,P005,S003,North,70,975.8,0,,0.0
2025-01-06,P005,S004,North,114,1589.16,0,,0.0
2025-01-06,P005,S005,North,100,1394.0,0,,0.0
2025-01-06,P005,S006,North,58,612.86,1,Bundle,24.2
2025-01-06,P005,S007,North,35,487.9,0,,0.0
2025-01-06,P005,S008,North,123,1496.86,1,Price Cut,12.7
2025-01-06,P005,S009,South,41,571.54,0,,0.0
2025-01-06,P005,S010,South,25,348.5,0,,0.0
2025-01-06,P005,S011,South,203,1542.25,1,BOGO,45.5
2025-01-06,P005,S012,South,50,697.0,0,,0.0
2025-01-06,P005,S013,South,103,1435.82,0,,0.0
2025-01-06,P005,S014,South,112,1508.2,1,Display Feature,3.4
2025-01-06,P005,S015,South,103,743.75,1,BOGO,48.2
2025-01-06,P005,S016,South,114,1589.16,0,,0.0
2025-01-06,P005,S017,South,86,1013.02,1,Price Cut,15.5
2025-01-06,P005,S018,East,40,557.6,0,,0.0
2025-01-06,P005,S019,East,55,634.83,1,Bundle,17.2
2025-01-06,P005,S020,East,49,683.06,0,,0.0
2025-01-06,P005,S021,East,55,766.7,0,,0.0
2025-01-06,P005,S022,East,56,419.2,1,BOGO,46.3
2025-01-06,P005,S023,East,50,697.0,0,,0.0
2025-01-06,P005,S024,West,42,585.48,0,,0.0
2025-01-06,P005,S025,West,103,1435.82,0,,0.0
2025-01-06,P005,S026,West,73,1017.62,0,,0.0
2025-01-06,P005,S027,West,133,1854.02,0,,0.0
2025-01-06,P005,S028,West,41,571.54,0,,0.0
2025-01-06,P005,S029,West,46,641.24,0,,0.0
2025-01-06,P005,S030,West,96,1338.24,0,,0.0
2025-01-06,P006,S001,North,171,801.99,0,,0.0
2025-01-06,P006,S002,North,195,914.55,0,,0.0
2025-01-06,P006,S003,North,394,1487.53,1,Bundle,19.5
2025-01-06,P006,S004,North,188,881.72,0,,0.0
2025-01-06,P006,S005,North,229,1074.01,0,,0.0
2025-01-06,P006,S006,North,100,469.0,0,,0.0
2025-01-06,P006,S007,North,126,590.94,0,,0.0
2025-01-06,P006,S008,North,191,895.79,0,,0.0
2025-01-06,P006,S009,South,76,356.44,0,,0.0
2025-01-06,P006,S010,South,74,330.05,1,Display Feature,4.9
2025-01-06,P006,S011,South,156,731.64,0,,0.0
2025-01-06,P006,S012,South,112,525.28,0,,0.0
2025-01-06,P006,S013,South,178,834.82,0,,0.0
2025-01-06,P006,S014,South,130,609.7,0,,0.0
2025-01-06,P006,S015,South,66,309.54,0,,0.0
2025-01-06,P006,S016,South,218,1022.42,0,,0.0
2025-01-06,P006,S017,South,75,351.75,0,,0.0
2025-01-06,P006,S018,East,74,347.06,0,,0.0
2025-01-06,P006,S019,East,78,365.82,0,,0.0
2025-01-06,P006,S020,East,107,501.83,0,,0.0
2025-01-06,P006,S021,East,134,628.46,0,,0.0
2025-01-06,P006,S022,East,72,337.68,0,,0.0
2025-01-06,P006,S023,East,87,408.03,0,,0.0
2025-01-06,P006,S024,West,41,192.29,0,,0.0
2025-01-06,P006,S025,West,144,675.36,0,,0.0
2025-01-06,P006,S026,West,122,572.18,0,,0.0
2025-01-06,P006,S027,West,171,801.99,0,,0.0
2025-01-06,P006,S028,West,58,272.02,0,,0.0
2025-01-06,P006,S029,West,91,426.79,0,,0.0
2025-01-06,P006,S030,West,174,816.06,1,Display Feature,0.0
2025-01-06,P007,S001,North,88,402.16,0,,0.0
2025-01-06,P007,S002,North,134,612.38,0,,0.0
2025-01-06,P007,S003,North,80,365.6,0,,0.0
2025-01-06,P007,S004,North,131,598.67,0,,0.0
2025-01-06,P007,S005,North,101,461.57,0,,0.0
2025-01-06,P007,S006,North,69,311.23,1,Display Feature,1.3
2025-01-06,P007,S007,North,48,219.36,0,,0.0
2025-01-06,P007,S008,North,92,420.44,0,,0.0
2025-01-06,P007,S009,South,36,164.52,0,,0.0
2025-01-06,P007,S010,South,26,118.82,0,,0.0
2025-01-06,P007,S011,South,92,420.44,0,,0.0
2025-01-06,P007,S012,South,63,231.77,1,Bundle,19.5
2025-01-06,P007,S013,South,75,342.75,0,,0.0
2025-01-06,P007,S014,South,87,397.59,0,,0.0
2025-01-06,P007,S015,South,33,150.81,0,,0.0
2025-01-06,P007,S016,South,117,534.69,0,,0.0
2025-01-06,P007,S017,South,52,237.64,0,,0.0
2025-01-06,P007,S018,East,42,191.94,0,,0.0
2025-01-06,P007,S019,East,29,132.53,0,,0.0
2025-01-06,P007,S020,East,54,246.78,0,,0.0
2025-01-06,P007,S021,East,36,164.52,0,,0.0
2025-01-06,P007,S022,East,35,159.95,0,,0.0
2025-01-06,P007,S023,East,49,223.93,0,,0.0
2025-01-06,P007,S024,West,57,140.66,1,BOGO,46.0
2025-01-06,P007,S025,West,86,393.02,0,,0.0
2025-01-06,P007,S026,West,54,246.78,0,,0.0
2025-01-06,P007,S027,West,94,429.58,0,,0.0
2025-01-06,P007,S028,West,33,150.81,0,,0.0
2025-01-06,P007,S029,West,51,179.93,1,Bundle,22.8
2025-01-06,P007,S030,West,59,269.63,0,,0.0
2025-01-06,P008,S001,North,98,546.84,0,,0.0
2025-01-06,P008,S002,North,177,987.66,0,,0.0
2025-01-06,P008,S003,North,124,691.92,0,,0.0
2025-01-06,P008,S004,North,120,669.6,0,,0.0
2025-01-06,P008,S005,North,118,658.44,0,,0.0
2025-01-06,P008,S006,North,46,256.68,0,,0.0
2025-01-06,P008,S007,North,53,295.74,0,,0.0
2025-01-06,P008,S008,North,155,700.57,1,Bundle,19.0
2025-01-06,P008,S009,South,58,175.74,1,BOGO,45.7
2025-01-06,P008,S010,South,37,206.46,0,,0.0
2025-01-06,P008,S011,South,122,673.27,1,Display Feature,1.1
2025-01-06,P008,S012,South,57,318.06,0,,0.0
2025-01-06,P008,S013,South,87,461.67,1,Display Feature,4.9
2025-01-06,P008,S014,South,147,448.68,1,BOGO,45.3
2025-01-06,P008,S015,South,24,133.92,0,,0.0
2025-01-06,P008,S016,South,93,518.94,0,,0.0
2025-01-06,P008,S017,South,42,234.36,0,,0.0
2025-01-06,P008,S018,East,26,145.08,0,,0.0
2025-01-06,P008,S019,East,30,167.4,0,,0.0
2025-01-06,P008,S020,East,85,356.67,1,Bundle,24.8
2025-01-06,P008,S021,East,57,318.06,0,,0.0
2025-01-06,P008,S022,East,40,186.37,1,Bundle,16.5
2025-01-06,P008,S023,East,42,234.36,0,,0.0
2025-01-06,P008,S024,West,21,117.18,0,,0.0
2025-01-06,P008,S025,West,62,345.96,0,,0.0
2025-01-06,P008,S026,West,114,621.49,1,Display Feature,2.3
2025-01-06,P008,S027,West,115,641.7,0,,0.0
2025-01-06,P008,S028,West,52,246.35,1,Price Cut,15.1
2025-01-06,P008,S029,West,35,195.3,0,,0.0
2025-01-06,P008,S030,West,86,479.88,0,,0.0
2025-01-06,P009,S001,North,36,630.8,1,Price Cut,16.6
2025-01-06,P009,S002,North,50,1050.5,0,,0.0
2025-01-06,P009,S003,North,41,861.41,0,,0.0
2025-01-06,P009,S004,North,42,882.42,0,,0.0
2025-01-06,P009,S005,North,55,1155.55,0,,0.0
2025-01-06,P009,S006,North,14,294.14,0,,0.0
2025-01-06,P009,S007,North,10,210.1,0,,0.0
2025-01-06,P009,S008,North,21,441.21,0,,0.0
2025-01-06,P009,S009,South,7,147.07,0,,0.0
2025-01-06,P009,S010,South,8,168.08,0,,0.0
2025-01-06,P009,S011,South,33,693.33,0,,0.0
2025-01-06,P009,S012,South,16,336.16,0,,0.0
2025-01-06,P009,S013,South,40,687.45,1,Price Cut,18.2
2025-01-06,P009,S014,South,21,441.21,0,,0.0
2025-01-06,P009,S015,South,13,273.13,0,,0.0
2025-01-06,P009,S016,South,47,838.36,1,Bundle,15.1
2025-01-06,P009,S017,South,13,273.13,0,,0.0
2025-01-06,P009,S018,East,7,147.07,0,,0.0
2025-01-06,P009,S019,East,9,189.09,0,,0.0
2025-01-06,P009,S020,East,20,420.2,0,,0.0
2025-01-06,P009,S021,East,18,378.18,0,,0.0
2025-01-06,P009,S022,East,7,147.07,0,,0.0
2025-01-06,P009,S023,East,15,315.15,0,,0.0
2025-01-06,P009,S024,West,6,126.06,0,,0.0
2025-01-06,P009,S025,West,22,462.22,0,,0.0
2025-01-06,P009,S026,West,26,546.26,0,,0.0
2025-01-06,P009,S027,West,38,798.38,0,,0.0
2025-01-06,P009,S028,West,7,147.07,0,,0.0
2025-01-06,P009,S029,West,7,147.07,0,,0.0
2025-01-06,P009,S030,West,24,504.24,0,,0.0
2025-01-06,P010,S001,North,75,323.25,0,,0.0
2025-01-06,P010,S002,North,236,779.14,1,Bundle,23.4
2025-01-06,P010,S003,North,111,478.41,0,,0.0
2025-01-06,P010,S004,North,97,418.07,0,,0.0
2025-01-06,P010,S005,North,145,624.95,0,,0.0
2025-01-06,P010,S006,North,51,219.81,0,,0.0
2025-01-06,P010,S007,North,29,120.49,1,Display Feature,3.6
2025-01-06,P010,S008,North,122,465.88,1,Price Cut,11.4
2025-01-06,P010,S009,South,28,120.68,0,,0.0
2025-01-06,P010,S010,South,28,120.68,0,,0.0
2025-01-06,P010,S011,South,73,314.63,0,,0.0
2025-01-06,P010,S012,South,55,232.07,1,Display Feature,2.1
2025-01-06,P010,S013,South,108,443.14,1,Display Feature,4.8
2025-01-06,P010,S014,South,82,353.42,0,,0.0
2025-01-06,P010,S015,South,27,116.37,0,,0.0
2025-01-06,P010,S016,South,88,379.28,0,,0.0
2025-01-06,P010,S017,South,58,247.23,1,Display Feature,1.1
2025-01-06,P010,S018,East,62,137.35,1,BOGO,48.6
2025-01-06,P010,S019,East,32,137.92,0,,0.0
2025-01-06,P010,S020,East,48,206.88,0,,0.0
2025-01-06,P010,S021,East,74,318.94,0,,0.0
2025-01-06,P010,S022,East,27,116.37,0,,0.0
2025-01-06,P010,S023,East,49,211.19,0,,0.0
2025-01-06,P010,S024,West,26,112.06,0,,0.0
2025-01-06,P010,S025,West,65,280.15,0,,0.0
2025-01-06,P010,S026,West,76,327.56,0,,0.0
2025-01-06,P010,S027,West,90,387.9,0,,0.0
2025-01-06,P010,S028,West,46,198.26,0,,0.0
